,Comentario Corregido,Sentimiento
9,es un excelente centro médico de atención lamentablemente por  crisis autoimpuesta no dispone de suficientes especialistas para atender a más usuarios y de mejor manera adicional de que    resto de hospitales,positivo
52,buen servicio y excelente atención médica y atención al paciente,positivo
131,hospital nuevo tiene más o menos un año equipos nuevos atención rápida y amable podría decir que es de  mejores hospitales del iess en quito y con muchas especialidades,positivo
135, instalaciones siguen en buenas condiciones es amplio y cuidan  limpieza  estacionamientos son amplios tiene un paso peatonal con ascensor desde  parqueaderos  atención del personal es intermitente hay personal amable y otros que no les importa  tiempo de  visitantes,positivo
142,excelente hospital con un amplio parqueadero queda al frente de  parada calzado del trole tiene acceso para personas con sillas de ruedas  atencion es muy buena,positivo
143,hospital limpiomuy bien equipado en  distintas áreas  mayoría del personal es amable cuenta con parqueadero ubicado al frente cruzando  puente peatonal en definitiva impuestos bien invertidos,positivo
158,es un hospital con infraestructura impresionante que dejó establecida rafael correa  amabilidad de  doctores enfermeras y de servicios es excelente una lástima que  personal de aseo y limpieza estén impagos 3 mesesojalá alguien lo solucione,positivo
160, hospital en si tiene deficiencias pero si cuenta con médicos excelentes agendar cita es terrible porque  turnos te dan cuando y no tienes dolencia pero vale  pena  profesionales que tiene,positivo
162,hoy visité  hospital iess excelente atención con profesionales de gran nivel muy satisfecho con  servicio afíliate y contribuye al crecimiento de  seguridad social en  ecuador,positivo
172,primeramente buens dt n en  area de traumatologuia un medico no dire  nombre me iva a operar y no conocio  riesgo luego me entero q si me operaba me dejaba sin movilidad y otro más bueno me mando terapia ni eso me mandon son,positivo
184,excelente servicio todo  personal da una buena atención principalmente  médicos,positivo
190,excelente hospital buen servicio personal capacitado,positivo
195,atención pediátrica en emergencia excelente muy amables y eficientes  doctores en general  personal,positivo
202,un enorme hospital excelente infraestructura pero aún tiene que mejorar  atención al público,positivo
203,amplias instalaciones aseado  atención del personal es buena son amables cuenta con múltiples estacionamientos,positivo
206,uno de  hospitales más modernos de  seguridad social excelente personal e infraestructura,positivo
211,gran infraestructura excelentes instrumentos falta aún mejorar  atención por ser nuevo,positivo
222,excelente atención equipos modernos  papeleo hay que mejorarlo,positivo
260,muy buena atención en  área de hospitalización de pediatría tanto  enfermeras fueron muy amables cálidos y empáticos  atención incluyó exámenes medicamentos y alimentación para  niño y su acompañante incluso citas,positivo
277," atención es paupérrima
desde triaje hasta  doctores de emergencia
se ponen bravos por decirles que atiendan más rápido se  pasan en  redes",positivo
312,son  mejores profesionales especialmente en emergencias actúan rápido  se debe fui bendecida al haber llegado allá cuando lo necesite  allí me salvaron  vida,positivo
314,buenos días nuevamente cambio  anterior ya que fui atendida telefónicamente entendiendo que tienen un número excesivo de llamadas y lógicamente es  también me fue posible arreglar cambio cita médica por lo que agradezco enormemente y felicito su pronta atención,positivo
317," doctoresdoctoraslicenciadasalgunas enfermeras y  amables
pero  señores guardias totalmente cerrados y no entienden razones ni se toman",positivo
325,"excelente atención  médicos muy profesionales y sobre todomuy humamos 
mucho aseola sugerencia que tengo es una cafeteríael espacio está allíademas muy linda vistapero no hay servicio",positivo
326,emergencia del hospital atención rápida y amable  escualidades se demoran un poco en atender pero solucionan  problemas de manera eficiente,positivo
334,está bastante bien provisto para sus especialidades brinda una buena atención  empleados son amables y  lugar está bien mantenido en ambiente y limpieza,positivo
