Comentarios,Sentimiento
es un excelente centro médico de atención lamentablemente por  crisis autoimpuesta no dispone de suficientes especialistas para atender a más usuarios y de mejor manera adicional de que    resto de hospitales,neutro
buen servicio y excelente atención médica y atención al paciente,positivo
hospital nuevo tiene más o menos un año equipos nuevos atención rápida y amable podría decir que es de  mejores hospitales del iess en quito y con muchas especialidades,positivo
 instalaciones siguen en buenas condiciones es amplio y cuidan  limpieza  estacionamientos son amplios tiene un paso peatonal con ascensor desde  parqueaderos  atención del personal es intermitente hay personal amable y otros que no les importa  tiempo de  visitantes,positivo
excelente hospital con un amplio parqueadero queda al frente de  parada calzado del trole tiene acceso para personas con sillas de ruedas  atencion es muy buena,positivo
hospital limpio muy bien equipado en  distintas áreas  mayoría del personal es amable cuenta con parqueadero ubicado al frente cruzando  puente peatonal en definitiva impuestos bien invertidos,positivo
es un hospital con infraestructura impresionante que dejó establecida rafael correa  amabilidad de  doctores enfermeras y de servicios es excelente una lástima que  personal de aseo y limpieza estén impagos 3 meses ojalá alguien lo solucione,neutro
 hospital en si tiene deficiencias pero si cuenta con médicos excelentes agendar cita es terrible porque  turnos te dan cuando y no tienes dolencia pero vale  pena  profesionales que tiene,neutro
hoy visité  hospital iess excelente atención con profesionales de gran nivel muy satisfecho con  servicio afíliate y contribuye al crecimiento de  seguridad social en  ecuador,positivo
primeramente buenos doctores no en  area de traumatologuia un medico no dire  nombre me iva a operar y no conocio  riesgo luego me entero q si me operaba me dejaba sin movilidad y otro más bueno me mando terapia ni eso me mandon son,neutro
excelente servicio todo  personal da una buena atención principalmente  médicos,positivo
excelente hospital buen servicio personal capacitado,positivo
atención pediátrica en emergencia excelente muy amables y eficientes  doctores en general  personal,positivo
un enorme hospital excelente infraestructura pero aún tiene que mejorar  atención al público,neutro
amplias instalaciones aseado  atención del personal es buena son amables cuenta con múltiples estacionamientos,positivo
uno de los hospitales más modernos de  seguridad social excelente personal e infraestructura,positivo
gran infraestructura excelentes instrumentos falta aún mejorar  la atención por ser nuevo,positivo
excelente atención equipos modernos  papeleo hay que mejorarlo,neutro
muy buena atención en  área de hospitalización de pediatría tanto  enfermeras fueron muy amables cálidos y empáticos  atención incluyó exámenes medicamentos y alimentación para  niño y su acompañante incluso citas,positivo
" atención es paupérrima
desde triaje hasta  doctores de emergencia
se ponen bravos por decirles que atiendan más rápido se  pasan en  redes",negativo
son  mejores profesionales especialmente en emergencias actúan rápido  se debe fui bendecida al haber llegado allá cuando lo necesite  allí me salvaron  vida,positivo
buenos días nuevamente cambio  anterior ya que fui atendida telefónicamente entendiendo que tienen un número excesivo de llamadas y lógicamente es  también me fue posible arreglar cambio cita médica por lo que agradezco enormemente y felicito su pronta atención,neutro
 doctores doctoras licenciadas algunas enfermeras y  amables pero  señores guardias totalmente cerrados y no entienden razones ni se toman,neutro
excelente atención  médicos muy profesionales y sobre todo muy humamos mucho aseo la sugerencia que tengo es una cafetería el espacio está allí ademas muy linda vista pero no hay servicio,positivo
emergencia del hospital atención rápida y amable  escualidades se demoran un poco en atender pero solucionan  problemas de manera eficiente,positivo
está bastante bien provisto para sus especialidades brinda una buena atención  empleados son amables y  lugar está bien mantenido en ambiente y limpieza,positivo
excelente hospital tiene una buena atención y un control estricto del covid,positivo
muy buenas instalaciones muy buenos equipos  excelente atención al fin algo digno para  afiliados centro médico familiar integral y especialidades diálisis  mariscal no le,positivo
buenos días estoy necesitando cambiar citas medicas de mis hijos con especialistas y en  call center 140 no lo pueden hacer me dan un número telefónico del hospital que solo envía a extenciones que nunca  puedo hacer para,negativo
en este centro médico solo hay consultas médicas con muy buenos especialistas  atención es muy buena,positivo
este es sin duda  mejor hospital del iess excelente en todo,positivo
me realice una cirugía desde  cita previas excelente atención puntualidad aseo y personal muy prefesional,positivo
es un hospital del día que presta atención 247 y cubre carias especialodades ademas cuenta con área de emergencias quirófano fisiatria consulta externa imagenología y rx atencion y club del adulto mayor y crónicos metábolicos y todos unos excelentes profesionales al servicio de  afiliados,positivo
me he operado aqui y me trataron muy bien muy amables todos y muy profesionales sin duda una buena experiencia,positivo
excelente atención de  señoritas de información gran agilidad y eficacia,positivo
 experiencia en  área de fisioterapia es excelente,positivo
buena  atencion no es todo de lo mejor pero algo es algo,neutro
excelente y oportuna atención llegue antes de  hora indicada y me atendieron inmediatamente  dra lina guamaní endocrinóloga muy profesional y atenta felicidades de  pocos hospitales del iess donde tratan bien al paciente,positivo
 centro de  del pueblo se muestra una muy cómoda infraestructura no tengo automóvil así que vine a pie desde  av eloy alfaro y gracias a maps logré llegar fui atendido excelente y me voy contento eso sí todo,positivo
