"style-scope src","yt-simple-endpoint href","style-scope","yt-simple-endpoint","yt-simple-endpoint href 2","yt-core-attributed-string","style-scope 2","yt-core-attributed-string 3","yt-core-image src"
"https://yt3.ggpht.com/ytc/AIdro_lY5270101WAN-x-1x4lD4xHHCqtiwGkxX2vgilmQJ5yF2R=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@CelesteBou","@CelesteBou","hace 6 meses (editado)","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=Ugxus6lAzhmaF4klOiF4AaABAg","La Sociedad de la Nieve es la primera adaptación verídica sobre el accidente aéreo de 1972 (""Viven"" distorsionó los hechos y los nombres). Bayona entrevistó a los sobrevivientes y a las familias de los fallecidos para verificar cada detalle. Además, es diferente a las películas anteriores, porque está protagonizada por Numa Turcatti, quien fue muy importante en el grupo y cuya historia no se había contado.
La película tiene un realismo increíble: todos los actores son uruguayos-argentinos, se filmó en los sitios reales (los Andes, el aeropuerto, la casa real del protagonista), se rodó cronológicamente para que se vea la transformación física de los personajes (los actores hicieron dietas estrictas); el vestuario, el maquillaje y la puesta en escena lucen idénticos a las imágenes de 1972. Espero que gane el Oscar.","2.2 K","86 respuestas",""
"https://yt3.ggpht.com/ytc/AIdro_njMK6ti6JFljvs6Ff8VyKdtTp2RX3Yexd_sT3CanolRuM=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@yordanrogel1853","@yordanrogel1853","hace 4 meses","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=UgwJBWog3JXDD7806bl4AaABAg","no hay amor mas grande , que el que da la vida por sus amigos. Esa frase me rompio .. Mis respetos y condolencias.","528","7 respuestas",""
"https://yt3.ggpht.com/ytc/AIdro_k8MQ688RTslHVZ7KrL6L3LFsELBa-0b1zdWN80it4a2o0v=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@lalyester4310","@lalyester4310","hace 4 meses (editado)","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=Ugxmwm3mpyEdoqrgZuJ4AaABAg","Insisto ""la sociedad de la nieve"" se merece más que un oscar; es increíblemente conmovedora y te lleva a sentir una cantidad de emociones que ninguna película antes había logrado (por mi parte), que te lleve a sentir que estás ahí y logras empatizar con cada uno de los personajes, ya que debes tener claro que todo sucedió en la vida real por lo que te lleva a un punto, incluso, de aprendizaje sobre hasta donde puede llegar el ser humano para sobrevivir sin dejar de lado su humanidad y destacando un nivel de resiliencia que muchos creen imposible de tener. Simplemente única","864","15 respuestas",""
"https://yt3.ggpht.com/26uuYO8ZQ3t2V33bIgpf5AWmIJJisQIPpxwvc_Lo7fh6wW6NXF6aOmojgwMAN4iLQNZguUzKKg=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@gastonz6868","@gastonz6868","hace 6 meses","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=UgxSRXtzpK5xL3at7hZ4AaABAg","pasaran los años pero esta historia nunca morira.","577","",""
"https://yt3.ggpht.com/ytc/AIdro_ljWXWJ-B_sP1wjhcC1W3o43PjsZzHI78LP0s3_JIark-I=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@posthumanism00","@posthumanism00","hace 4 meses","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=UgwIF4v_DRcZkV6E0jh4AaABAg","As a Turkish,  I felt every emotions.  It was great. Condolences to the families having lost","249","",""
"https://yt3.ggpht.com/ytc/AIdro_mWk4LpJwor5owob6eRaF9Cr6CdHEb0IykQ24O6PEejL6U=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@cristinadiaz8129","@cristinadiaz8129","hace 4 meses (editado)","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=Ugw7J-hRFSBpPR4aKzl4AaABAg","Yo mexicana vi la peli hace unos día en Sevilla. Dirigida por un español sobre unos uruguayos salvados en Chile! Que viva la hispanidad y por más películas que muestren nuestras historias en NUESTRO idioma!","545","12 respuestas","https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u2764.png"
"https://yt3.ggpht.com/ytc/AIdro_l54JuFkfz_MPuEzHjXdxfvxURY00Junn3arhXrUYET02NzrFzJeqJsa24OyzDDUvdakg=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@CarlosAraya-cf2lv","@CarlosAraya-cf2lv","hace 4 meses","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=UgwTkQ5RAt6BRQtI_4h4AaABAg","Soy chileno, tenía 11 años cuando ocurrió está tragedia y por lo que recuerdo en Chile nunca se les abandono, se les busco hasta el fin y creo que esa búsqueda insesante se debió en gran parte A UNO DE LOS PADRES DE ESTOS JÓVENES, ERA UN SEÑOR ESCULTOR QUE JAMAS SE RINDIO !!!!! RECUERDO QUE APARECIA  CON MUCHA FRECUENCIA EN LA TV Y PERIODICOS; LO RECUERDO VIVIDAMENTE PORQUE MI MADRE SIEMPRE SE EMOCIONABA PIR SU FUERZA Y CORAJE !!!! LE RINDO HOMENAJE A ESE PADRE YA QUE GRACIAS AL AMOR POR SU HIJO ESTA TRAGEDIA PERMANECIÓ EN LOS MEDIOS NOTICIOSOS !!!!
Greeting from USA.","140","6 respuestas",""
"https://yt3.ggpht.com/ytc/AIdro_l3tHdxBmEGnWx_En-FEG4PguYr6o8wXZ4mm1JbwDY=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@isamarsellbastiastroncoso4159","@isamarsellbastiastroncoso4159","hace 5 meses","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=UgyljbyFWPoqi_sIN_F4AaABAg","Peliculon!!!!! Un drama abordado con respeto y sensibilidad...100% recomendada y solo espero que gane el Oscar...","632","16 respuestas",""
"https://yt3.ggpht.com/bJA_DHRph7oI8DsYzhgNEuR_7yzUO25Jslfd3dqygI6nuubzaTi4DS6Oz6y6OZg5QAc5fDIgZA=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@Willy-9ts9go9v","@Willy-9ts9go9v","hace 6 meses","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=UgzcpSMh0VUpvl26RbJ4AaABAg","Sin desmerecer a los otros sobrevivientes, Parrado y Canessa deberían de tener un monumento en Montevideo","2 K","61 respuestas",""
"https://yt3.ggpht.com/DxyZtZOkYAvEzOjKLJjYrVOZkKOfQ9Wdbh5H6czk8gHY5E2wSodinAOpAZyLHmVdhV-lh3_-oQ=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@swx5487","@swx5487","hace 4 meses","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=UgxRGy9THsPSjRTyZeR4AaABAg","El actor uruguayo Enzo Vogrincic (Numa Turcatti) es maravilloso, su papel te transmite una empatía descomunál. 
Es algo a destacar también los cameos que hacen los verdaderos protagonistas de la historia y la recreación del Uruguay de principio de los años 1970's. UN FILM MARAVILLOSO.","71","",""
