"xpdipgo src","x1i10hfl","x1i10hfl href","_ap3a","x1i10hfl href 2","_a9ze","x193iq5w","x193iq5w 2","x1i10hfl href 3","x193iq5w 3"
"https://instagram.fuio13-1.fna.fbcdn.net/v/t51.2885-19/418667368_688661860102722_5792546701720854596_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fuio13-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=rfBvVyE6dcsQ7kNvgGH1_Hh&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AYCm52OvzeJbWhp3cbSxVNoD-DffmizvxRnZva_q7VP-6w&oe=6667C84C&_nc_sid=f5838a","feliperamusiomora","https://www.instagram.com/feliperamusiomora/","❤️","https://www.instagram.com/p/C2TD3Upx1DX/c/18267723256205618/","19 sem","7 Me gusta","Responder","",""
"https://instagram.fuio13-1.fna.fbcdn.net/v/t51.2885-19/83419517_1275653632634471_2697344684291784704_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fuio13-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=SIddUclYMEQQ7kNvgHS2rK4&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AYAHQTBcVIEqlDE8ThKbO630bSnuFl6b31eWOIP-noVyWA&oe=6667C31D&_nc_sid=f5838a","andreajoyce2412","https://www.instagram.com/andreajoyce2412/","Quienes apoyamos que ga e el Oscar 🥰👏👏👉","https://www.instagram.com/p/C2TD3Upx1DX/c/18009637442021012/","19 sem","36 Me gusta","Responder","https://www.instagram.com/andreajoyce2412/","Ver traducción"
"https://instagram.fuio13-1.fna.fbcdn.net/v/t51.2885-19/396069508_1439499640295560_2508855947496790568_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fuio13-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=MdzWCDeJz7sQ7kNvgEjnp37&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AYCiz0syJO5GICpKh52jWEJjcTtFUKxc_vdp8AUbanWMQg&oe=6667E7C0&_nc_sid=f5838a","marianasotofranco","https://www.instagram.com/marianasotofranco/","Estoy obsesionada con esta historia 🥹💕😍 que producción tan espectacular","https://www.instagram.com/p/C2TD3Upx1DX/c/17869225644049787/","19 sem","6 Me gusta","Responder","https://www.instagram.com/marianasotofranco/","Ver traducción"
"https://instagram.fuio13-1.fna.fbcdn.net/v/t51.2885-19/443698701_975034437651844_4398158573379938301_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fuio13-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=2zrkfG7rubIQ7kNvgEx3NKO&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AYDgI5HjzAUY-p7DC2qUOIp5QE8vjrXaOg314E3DyppVNA&oe=6667E1F6&_nc_sid=f5838a","andreagarciag1","https://www.instagram.com/andreagarciag1/","Se merecen el oscar❤️","https://www.instagram.com/p/C2TD3Upx1DX/c/18044393680533881/","19 sem","184 Me gusta","Responder","","Ver traducción"
"https://instagram.fuio13-1.fna.fbcdn.net/v/t51.2885-19/309621031_1101546873899530_1307680716756445326_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fuio13-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=2I-QD96igI8Q7kNvgED1n-9&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AYDehCFbfuVmFQLM9DUnssGDtGbr7Xn76VMh_zvDmOIJTw&oe=6667C8B6&_nc_sid=f5838a","juanboccassini","https://www.instagram.com/juanboccassini/","La mejor versión! Cual fue la locación?","https://www.instagram.com/p/C2TD3Upx1DX/c/18009359468192491/","19 sem","2 Me gusta","Responder","https://www.instagram.com/juanboccassini/","Ver traducción"
"https://instagram.fuio13-1.fna.fbcdn.net/v/t51.2885-19/315110962_537382157762021_7478262113844575360_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fuio13-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=H8gtaioyDFUQ7kNvgFr_JRs&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AYAcu8P-XvoAjVJ8YDRb8BJQPXZOiHvtQFiUuqwyX0Jvkw&oe=6667D5BD&_nc_sid=f5838a","melodiebastide","https://www.instagram.com/melodiebastide/","Que guapo que es Enzo 🔥","https://www.instagram.com/p/C2TD3Upx1DX/c/17866996905061896/","19 sem","22 Me gusta","Responder","https://www.instagram.com/melodiebastide/","Ver traducción"
"https://instagram.fuio13-1.fna.fbcdn.net/v/t51.2885-19/365744742_311503837928471_2962518862221260265_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fuio13-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=x7tso21l850Q7kNvgHiJdv9&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AYDGyYnCTWaf0vt5nttF9bOau3DlOcUXPENzG9TDrV-nng&oe=6667CCC2&_nc_sid=f5838a","annasophie_betancourt","https://www.instagram.com/annasophie_betancourt/","Ya la vi tres veces y me encanta la verdad incluso me encantó tanto que me regalaron el libro de el grande Carlitos Páez “después del día diez” con autógrafo y todo y la verdad el libro y la película nunca me dejan de sorprender de cómo el ser humano es increíble y el gran trabajo de cómo intentaron poner todo en la película y no intentaron lo lograron!","https://www.instagram.com/p/C2TD3Upx1DX/c/18008295986049342/","19 sem","2 Me gusta","Responder","https://www.instagram.com/annasophie_betancourt/","Ver traducción"
"https://instagram.fuio13-1.fna.fbcdn.net/v/t51.2885-19/20589980_179764612565881_3667044043692441600_a.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fuio13-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=ploRucrKnoIQ7kNvgEDfHrg&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AYAFCxE9MwVoalcuSk8vVHOi7-xq5Y7u723vLHdN9p_rVA&oe=6667D73E&_nc_sid=f5838a","b.eyhann","https://www.instagram.com/b.eyhann/","Yo tambien ! Porque es mucho más que una película... no solo cuenta la historia de los jóvenes jugadores de rugby... finalmente,  nos deja a todos con quizás la cuestión más profunda de la existencia...En serio "" Qué sentido tiene ? ""","https://www.instagram.com/p/C2TD3Upx1DX/c/18012691246969286/","19 sem","19 Me gusta","Responder","https://www.instagram.com/b.eyhann/","Ver traducción"
"https://instagram.fuio13-1.fna.fbcdn.net/v/t51.2885-19/446125084_977762280224937_1565564273275579518_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fuio13-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=I6QaeJ9JSxQQ7kNvgGCWkmo&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AYDvE98nytjcWFX9eOP7wUWA8T3dFN0CaIliiK2gObCNgg&oe=6667E94A&_nc_sid=f5838a","ina_frias","https://www.instagram.com/ina_frias/","Demasiado buena, tanto el director, como el guionista, los actores... Es increíble me sentí que hubiera estado allí, no fue fácil lo que ellos hicieron y las decisiones que tomaron. Todos todos  fueron héroes...","https://www.instagram.com/p/C2TD3Upx1DX/c/18252280921239428/","19 sem","11 Me gusta","Responder","","Ver traducción"
"https://instagram.fuio13-1.fna.fbcdn.net/v/t51.2885-19/275047729_270134515276106_4682166612237838922_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fuio13-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=avqFU848isEQ7kNvgHCpsuf&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AYCLDzlRVefTwU_dzcS4Zp0PXsBuI4-eP-iXjnWbgRXDOg&oe=6667D0D3&_nc_sid=f5838a","ximedrs","https://www.instagram.com/ximedrs/","Impresionante y conmovedora película. El casting fue espectacular, los efectos visuales, el ost, la narración, fotografía, etc realmente se pasaron 👏🏻👏🏻👏🏻👏🏻","https://www.instagram.com/p/C2TD3Upx1DX/c/18032376937808702/","19 sem","9 Me gusta","Responder","https://www.instagram.com/ximedrs/","Ver traducción"
