"NBa7we src","d4r55","RfnDt","rsqaWe","wiI7pd","dSlJg","znYl0","dSlJg 2","znYl0 2"
"https://lh3.googleusercontent.com/a-/ALV-UjUtEFZ1zbiFi3V4RAZdpLGkoax9uqiU1exwqkUYSZwfNs24KVZs=w45-h45-p-rp-mo-br100","Evelyn Teran","1 opinión","Hace 4 meses","Este es el peor centro de salud voy por emergencia y me dicen que no hay atención que me vaya a otro lado","","Me gusta","","Compartir"
"https://lh3.googleusercontent.com/a-/ALV-UjUgmbRPDeG2-WYMkoy6LNPotMQuyQ5xtqAOKcNDHBR_FOJUpSc=w45-h45-p-rp-mo-br100","MONICA ALFARO","37 opiniones","Hace un mes","Dieron la cita y al final no atendieron","","Me gusta","","Compartir"
"https://lh3.googleusercontent.com/a-/ALV-UjVyOXF-7sn1_4Jue9AuEvEbCfKQ-M3UJClhC8Wv9kDYjg8K99a5FA=w45-h45-p-rp-mo-ba3-br100","Lorena Erazo","Local Guide · 11 opiniones · 170 fotos","Hace 9 meses","Asisto al grupo de mamitas embarazadas y mamitas lactantes, es gratificante tener acompañamiento en ésta etapa","","Me gusta","","Compartir"
"https://lh3.googleusercontent.com/a-/ALV-UjV45X643-ZYQBqIGSFEiWCvl-d2z9sC1gzi-9zwxnt9jfn1JiIzHg=w45-h45-p-rp-mo-br100","Jennifer Lisbehi Fajardo","8 opiniones","Hace 11 meses","La atención que brinda la Obstetriz es de calidad te hace sentir entendido y te atiende con una muy buena actitud","","Me gusta","","Compartir"
"https://lh3.googleusercontent.com/a-/ALV-UjVtKzdk-OoHLu9PlDQRhjNHnd69AAhtAUdEJPX3vGIODMqusueNiA=w45-h45-p-rp-mo-ba4-br100","Helena Caicedo","Local Guide · 107 opiniones · 238 fotos","Hace 4 años","La atención en este centro es muy buena, em especial la de la obstetriz que es muy dedicada a su trabajo y a sus pacientes, todos los profesionales están prestos para ayudar a quien va necesitando atención.","","Me gusta","","Compartir"
"https://lh3.googleusercontent.com/a/ACg8ocLcQewWXGcWlHchoKy5C9swGb7wNl1ccItsbXGbJKu9ek6O_Q=w45-h45-p-rp-mo-ba3-br100","Ross Castillo Neira","Local Guide · 33 opiniones · 6 fotos","Hace 6 meses","A cambiado bastante la atención del personal 👍…","","Me gusta","","Compartir"
"https://lh3.googleusercontent.com/a-/ALV-UjW5KF-Atkavy0KN8aET5_LvGAVGwI_1OyLjPdzyNIS7Id2US89C=w45-h45-p-rp-mo-ba4-br100","Darwin Bonilla","Local Guide · 77 opiniones · 2 fotos","Hace 2 años","la atención muy buena y las medicinas por ser sector publico son gratis","","Me gusta","","Compartir"
"https://lh3.googleusercontent.com/a-/ALV-UjV-u99Wt-8fCk7U-KMkEX-N5h1EAdmgUnxfMT9r4W0ougoZnWwl=w45-h45-p-rp-mo-ba2-br100","Patricia Zwanziger","Local Guide · 9 opiniones · 1 foto","Hace 2 años","Muy bueno el lugar pequeño pero esta bien","","Me gusta","","Compartir"
"https://lh3.googleusercontent.com/a-/ALV-UjXXii7FMvYdBvlhsHc65ieAlgkhv5B9x_c6TpSSeBpBDdZ333kY=w45-h45-p-rp-mo-ba3-br100","Evelyn Guevara Puente","Local Guide · 50 opiniones · 13 fotos","Hace 10 meses","Muy buena atención.","","Me gusta","","Compartir"
"https://lh3.googleusercontent.com/a-/ALV-UjURk0oaBgF2Pmv6XbCpltauUj4pqeetRXih1q5d6RV_eQ77OEgb=w45-h45-p-rp-mo-ba5-br100","Francisco Reinoso","Local Guide · 370 opiniones · 108 fotos","Hace un año","No dan ni una Aspirina.","","Me gusta","","Compartir"
"https://lh3.googleusercontent.com/a-/ALV-UjX--jow8EGr5DLS3alO473uTPXFZjHhoQzJ00z9-tByjKR56fLoOA=w45-h45-p-rp-mo-ba3-br100","luis maldonado","Local Guide · 34 opiniones · 1 foto","Hace 2 años","Genial","","Me gusta","","Compartir"
"https://lh3.googleusercontent.com/a-/ALV-UjVemFLZHe0BWsGlpPtwwK1vKBeyswTt_I14q_llWaNskLY1Z7k=w45-h45-p-rp-mo-ba4-br100","carlos carrazco","Local Guide · 46 opiniones · 22 fotos","una semana atrás","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW6F1Mdgly7QKS5QabblFcaQAMOqOcPz9BGKpftMqaAvnIdfDuiHQ=w45-h45-p-rp-mo-ba5-br100","Diego Alejandro Lara Q","Local Guide · 90 opiniones · 954 fotos","Hace 3 meses","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXKaeDPpTxxNmZVmgtYsMzkvljPcCKhW_Qfbne11HmL8cgUiuY9=w45-h45-p-rp-mo-ba3-br100","vanessa veramendi","Local Guide · 23 opiniones · 76 fotos","Hace 5 meses","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWmkqnAAjOD1fymATyFP8990aGS7Gdg6b3JDPPdQgkVM7TV7dot=w45-h45-p-rp-mo-ba4-br100","sinahi jaime","Local Guide · 98 opiniones · 45 fotos","Hace 6 meses","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocK84DqBDXRypqRrMf_PzZ0EZgYzql9HJV5ds0XjOhZ9E4aDCw=w45-h45-p-rp-mo-ba3-br100","Diego Orellana","Local Guide · 3 opiniones · 5 fotos","Hace 9 meses","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocIjCreLw5WQZV9yP_DFe7jiNb0vmDy-kR16jZ2TMmF5sLYUdsM=w45-h45-p-rp-mo-ba5-br100","Washington Cabrera","Local Guide · 8 opiniones · 26 fotos","Hace un año","","","","",""
