NBa7we src,d4r55,RfnDt,rsqaWe,wiI7pd,dSlJg,Hzvxle,pkWtMe,dSlJg 2,znYl0,znYl0 2,nM6d2c,DZSIDd,wiI7pd 2
https://lh3.googleusercontent.com/a-/ALV-UjWVeLfuA8tBpstA7YbSYxRoh0Sdoq4YbnW6qB2KdSNtrw_9DktRXg=w45-h45-p-rp-mo-ba5-br100,Martin Iturbide,"Local Guide · 244 opiniones · 1,004 fotos",Hace 2 meses,"Un maltrato increíble. El guardia no deja entrar a al acompañante del enfermo. ""Ya se enterará si le pasa algo al enferno"" dijo el guardia con mala.actitud. Ojala el muerto nos haga una llamada del mas alla. Lo que se espera de IESS.",,Me gusta,2.0,,Compartir,,,,
https://lh3.googleusercontent.com/a-/ALV-UjU0IvppNGcAHog6RTh6xiX34pIzjm5X1BLohgKNxgdeyON1tNWr=w45-h45-p-rp-mo-br100,Paula Loor,1 opinión,4 semanas atrás,Pésimo servicio. Tiempo de espera de más de 4 horas para que al final no te atiendan porque no estás lo suficientemente grave,,Me gusta,1.0,,Compartir,,,,
https://lh3.googleusercontent.com/a-/ALV-UjVG31sy3ZdAKfyCBqvIjl97fOiUFW9YMZWqNPTXrSQgV8f3z32N=w45-h45-p-rp-mo-br100,José Marcos,5 opiniones · 1 foto,Hace 11 meses,"Hoy 27/06/23, necesitaba saber que paso con una derivación tramitada hace 2 meses que puestamente me llamaban  pero la persona encargada ni siquiera se comidio en averiguar que había pasado con mi proceso, pésima atención no ponen personas preparadas en información.",,Me gusta,3.0,,Compartir,,,,
https://lh3.googleusercontent.com/a-/ALV-UjWbB1t7tncRl_iGkCnkmEwaFsj7auoUOh5K19ZIOZAJdjBXq5Q=w45-h45-p-rp-mo-br100,Yuly Tinitana,2 opiniones,Hace un mes,Pesimo servicio 3 horas para atencion y 3 maa para la entrega de resultados no es justo nosotros pagamoa nuestro seguro al dia y ellos se demoran mucho,,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a-/ALV-UjVNhv1Kn6ViwBJirCVvpdjvYI2zwXvZ9a3xW0vsLa6WcLQ9ifVq=w45-h45-p-rp-mo-ba6-br100,Diego Alexis,"Local Guide · 192 opiniones · 1,891 fotos",Hace un año,"El servicio lento, inoperante, burocrático, des humanizado solo se compara con la calidad del personal que aquí trabaja. Parece que nos están haciendo un favor, cuando la realidad es que gracias a nuestros aportes es que esta nefasta…",,Me gusta,17.0,,Compartir,,,,
https://lh3.googleusercontent.com/a-/ALV-UjVdIJW9AuvJuA6UAg13-yo48-65lWigHC2Zy7SAB8q7hDYaXhw=w45-h45-p-rp-mo-br100,Analía De La Cruz Ramos,3 opiniones · 1 foto,Hace 3 meses,"Si podría darles 0, lo haría. El servicio público es lo peor que existe y más aquí lleno de burocracia y grosería",,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a-/ALV-UjUL9JDFBfOAnv8ssD-8jQY47lkdJxpQUVxZLw4TwIf-yPiVGSMo=w45-h45-p-rp-mo-ba4-br100,Janus Escobar,Local Guide · 108 opiniones · 166 fotos,Hace 8 meses,Es un centro hospitalario muy antiguo qué necesita una remodelacion urgente. La luminaria es deficiente. La estructura es vieja y desgastada. Los médicos hacen lo posible por prestar una buena atención pero la infraestructura deja mucho que desear.,,,,,Compartir,Me gusta,,,
https://lh3.googleusercontent.com/a/ACg8ocL0W0DTxQ9-5s-NPS6OXccPIJ4hofFRQwwpFXIvzlGvH4Z3qg=w45-h45-p-rp-mo-br100,Estefania Saltos,6 opiniones,Hace 7 meses,"Arrepentimiento total. Llevé  ami hija con fiebre y ho sorpresa no tiene nada....Creo que no se toman en serio a los pacientes, a mi hija se le agravó y ahora está hospitalizada con neumonía .....se escudan con que no hay pediatras en…",,Me gusta,3.0,,Compartir,,,,
https://lh3.googleusercontent.com/a-/ALV-UjUmVT7InOxwMEkKreRtJfG3Afo0syjI8XM2KRUHS-AwDQa-CF0nhA=w45-h45-p-rp-mo-ba4-br100,Roger Flores,Local Guide · 120 opiniones · 318 fotos,Hace 7 meses,"Es un lugar saturado, mal señalizado y en malas condiciones.  Aunque los trabajadores, enfermeras, doctoras se muestran amables, nada pueden hacer.
En consulta no tienen los equipos adecuados para un diagnóstico , o argumentan…",,Me gusta,4.0,,Compartir,,,,
https://lh3.googleusercontent.com/a-/ALV-UjWivdATi_-r_mqtwUUT1H4sFOHW_WbJfBbwMonPZnhMicODMAxOqQ=w45-h45-p-rp-mo-ba4-br100,Fernando RodSan,Local Guide · 179 opiniones · 32 fotos,Hace un año,"Es un excelente centro médico de atención, lamentablemente por la crisis autoimpuesta no dispone de suficientes especialistas para atender a más usuarios y de mejor manera, adicional de que la farmacia (como el resto de hospitales…",,Me gusta,4.0,,Compartir,,,,
https://lh3.googleusercontent.com/a-/ALV-UjUrLVzKWoEf0dwueavSSTGkmWEhC9JSdQD6ZJMpvYEzMfULAC_H=w45-h45-p-rp-mo-ba3-br100,Adriana PC,Local Guide · 15 opiniones · 35 fotos,Hace un mes,Validación de certificados médicos de lunes a viernes de 06:00 a 09:00. Se debe hacer la fila general para obtener el turno. La atención es rápida. El certificado debe cumplir con todos los requisitos indicados. El sello del médico debe ser…,,Me gusta,6.0,,Compartir,,,,
