wiI7pd,comentarios_traducidos,clasificacion
un maltrato increíble el guardia no deja entrar a al acompañante del enfermo ya se enterará si le pasa algo al enferno dijo el guardia con malaactitud ojala el muerto nos haga una llamada del mas alla lo que se espera de iess,"Total regret, I took my daughter with a fever and surprise, there is nothing. I think they don't take the patients seriously. My daughter got worse and now she is hospitalized with pneumonia. They hide behind the fact that there are no pediatricians in",negativo
pésimo servicio tiempo de espera de más de 4 horas para que al final no te atiendan porque no estás lo suficientemente grave,If I could give them 0 I would the public service is the worst that exists and even more so here full of bureaucracy and rudeness,negativo
hoy 270623 necesitaba saber que paso con una derivación tramitada hace 2 meses que puestamente me llamaban  pero la persona encargada ni siquiera  en averiguar que había pasado con mi proceso pésima atención no ponen personas preparadas en información,"Today 270623 I needed to know what happened with a referral processed 2 months ago that they called me but the person in charge did not even find out what had happened with my process, terrible attention, they do not provide people prepared with information",negativo
pesimo servicio 3 horas para atencion y 3 maa para la entrega de resultados no es justo nosotros pagamoa nuestro seguro al dia y ellos se demoran mucho,"The slow, inoperative bureaucratic service dehumanized only with the quality of the staff that works here seems that they are doing us a favor when the reality is that thanks to our contributions it is disastrous",negativo
el servicio lento inoperante burocrático des humanizado solo  con la calidad del personal que aquí trabaja parece que nos están haciendo un favor cuando la realidad es que gracias a nuestros aportes es que esta nefasta,"Incredible mistreatment, the guard does not allow the patient's companion to enter. He will find out if something happens to the patient, the guard said with a bad attitude. I hope the dead man makes us a call from beyond, what is expected of IESS.",negativo
si podría darles 0 lo haría el servicio público es lo peor que existe y más aquí lleno de burocracia y grosería,Terrible service 3 hours for attention and 3 hours for delivery of results it is not fair we pay our insurance up to date and they take a long time,negativo
es un centro hospitalario muy antiguo qué necesita una remodelacion urgente la luminaria es deficiente la estructura es vieja y desgastada los médicos hacen lo posible por prestar una buena atención pero la infraestructura deja mucho que desear,"It is an excellent medical care center. Unfortunately, due to the self-imposed crisis, it does not have enough specialists to serve more users and in a better way than the rest of the hospitals.",positivo
arrepentimiento total llevé  ami hija con fiebre y ho sorpresa no tiene nadacreo que no se toman en serio a los pacientes a mi hija se le agravó y ahora está hospitalizada con neumonía se escudan con que no hay pediatras en,"It is a saturated place, poorly signposted and in poor condition, although the workers, nurses and doctors are friendly, there is nothing they can do.
in consultation they do not have the appropriate equipment for a diagnosis or they argue",positivo
"es un lugar saturado mal señalizado y en malas condiciones  aunque los trabajadores enfermeras doctoras se muestran amables nada pueden hacer
en consulta no tienen los equipos adecuados para un diagnóstico  o argumentan","Terrible service, waiting time of more than 4 hours so that in the end they do not attend to you because you are not seriously ill enough",negativo
es un excelente centro médico de atención lamentablemente por la crisis autoimpuesta no dispone de suficientes especialistas para atender a más usuarios y de mejor manera adicional de que la  el resto de hospitales,The good thing is that they attended to me relatively quickly,positivo
