wiI7pd,comentarios_traducidos
un maltrato increíble el guardia no deja entrar a al acompañante del enfermo ya se enterará si le pasa algo al enferno dijo el guardia con malaactitud ojala el muerto nos haga una llamada del mas alla lo que se espera de iess,An incredible mistreatment The guard does not let the patient's companion enter the patient will already find out if something happens to the sick said the guard with miseracy hopefully the dead make us a call from the most there what is expected of iesss
pésimo servicio tiempo de espera de más de 4 horas para que al final no te atiendan porque no estás lo suficientemente grave,Lousimo waiting time for more than 4 hours so that in the end they do not serve you because you are not serious enough
hoy 270623 necesitaba saber que paso con una derivación tramitada hace 2 meses que puestamente me llamaban  pero la persona encargada ni siquiera  en averiguar que había pasado con mi proceso pésima atención no ponen personas preparadas en información,Today 270623 needed to know what happened with a derivation processed 2 months ago that they called me but the person in charge even in finding out what had happened with my bad attention process does not put people prepared in information in information
pesimo servicio 3 horas para atencion y 3 maa para la entrega de resultados no es justo nosotros pagamoa nuestro seguro al dia y ellos se demoran mucho,PESIMO SERVICE 3 HOURS FOR ATTENTION AND 3 MORE FOR THE DELIVERI
el servicio lento inoperante burocrático des humanizado solo  con la calidad del personal que aquí trabaja parece que nos están haciendo un favor cuando la realidad es que gracias a nuestros aportes es que esta nefasta,The slow bureaucratic non -humanized service with the quality of the personnel working here seems that they are doing us a favor when the reality is that thanks to our contributions is that this disastrity
si podría darles 0 lo haría el servicio público es lo peor que existe y más aquí lleno de burocracia y grosería,"If you could give them 0, public service would be the worst that exists and more here full of bureaucracy and rudeness"
es un centro hospitalario muy antiguo qué necesita una remodelacion urgente la luminaria es deficiente la estructura es vieja y desgastada los médicos hacen lo posible por prestar una buena atención pero la infraestructura deja mucho que desear,"It is a very old hospital center that needs an urgent remodeling, the luminaire is poor. The structure is old and worn. Doctors do their best to pay good attention but the infrastructure leaves much to be desired"
arrepentimiento total llevé  ami hija con fiebre y ho sorpresa no tiene nadacreo que no se toman en serio a los pacientes a mi hija se le agravó y ahora está hospitalizada con neumonía se escudan con que no hay pediatras en,Total repentance I took a daughter with a fever and holes has no swim
"es un lugar saturado mal señalizado y en malas condiciones  aunque los trabajadores enfermeras doctoras se muestran amables nada pueden hacer
en consulta no tienen los equipos adecuados para un diagnóstico  o argumentan","It is a badly marked saturated place and in poor condition although nurses doctors are friendly nothing can do nothing
In consultation they do not have the right equipment for a diagnosis or argue"
es un excelente centro médico de atención lamentablemente por la crisis autoimpuesta no dispone de suficientes especialistas para atender a más usuarios y de mejor manera adicional de que la  el resto de hospitales,It is an excellent medical care center unfortunately for the self -imposed crisis does not have enough specialists to serve more users and in addition to the additional way that the rest of hospitals
validación de certificados médicos de lunes a viernes de 0600 a 0900 se debe hacer la fila general para obtener el turno la atención es rápida el certificado debe cumplir con todos los requisitos indicados el sello del médico debe ser,Validation of medical certificates from Monday to Friday from 0600 to 0900 the general line must
pésima atención se entiende que tengamos que esperar por la atención  es posible  dos horas y no te den respuesta de unos resultados que ellos mismo te indican que se demorarán de 15 a 20 minutos adicional no tienen ni la,Step attention It is understood that we have to wait for attention is possible two hours and do not respond to you results that they themselves indicate that they will take 15 to 20 minutes additional do not have even the
en este centro médico te pueden dejar morir tengo un video donde llegó una señora mayor en silla de ruedas quejándose de dolor y aun así le hicieron esperar por horas mientras todos los demás presentes nos daba pena e indignación,In this medical center you can let you die I have a video where an old lady arrived in a wheelchair complaining and still made her wait for hours while everyone else present gave us sorrow and indignation
lo bueno que me han atendido relativamente rápido,The good thing that they have attended to me relatively fast
fatal el día miércoles 27 asistí a este lugar realice todos los trámites y la espera de resultados para que me digan que algo me cayó mal y que en los resultados no salió nada en la madrugada del jueves 28 me fui a un hospital privado ya,Fatal on Wednesday 27 I attended this place to carry out all the procedures and wait for results to tell me that something fell badly and that in the results nothing came out in the early hours of Thursday 28 I went to a private hospital and
un servicio aunque no lo llegué a recibir pésimo enfermeros y médicos groseros fuimos por una emergencia del corazón  se debía pasar por diagnóstico covid la dra se había ido a almorzar sin dejar reemplazo mientras mi madre,A service although I did not receive it lousy nurses and rude doctors we went through an emergency of the heart should be passed through the diagnosis covid the DRA had gone to lunch without leaving replacement while my mother
negligencia total acudí a emergencias llevo un mes trabajando bajo dependencia y aún si no me atendieron en emergencias presento muchos síntomas que espero no sean abrasivos ni letales cuento con una mujer embarazada a mi lado mi,"Total negligence I went to emergencies I have been working under dependency for a month and even if they did not attend to emergencies, I present many symptoms that I hope are not abrasive or lethal I have a pregnant woman next to me my side my side"
el lugar es viejo huele a humedo no tiene luz en emergencia siempre esta lleno de gente  no hay citas en el iess van a sentarse 5 horas a ver si les atienden no hay parqueo afuera hay un negro con un palopara cuidar q le pagues,"The place is old, it smells like Humedo does not have a light in emergency, it is always full of people there are no dating in the IESS will sit 5 hours to see if they serve them there is no parking lot there is a black with a stick to take care of you."
el problema es que con el gobierno de lenin moreno y guillermo lasso no hay medicinas de lo demás sí hay atención aceptable,The problem is that with the government of Lenin Moreno and Guillermo Lasso there are no medicines of the rest there is acceptable attention
pésimo sevicio te descuentan mes a mes y jamas hay turnos para médicos especialistas y te hacen esperar 3 a 4 meses para un posible turno con algún especialista no hay empata para con los usuarios,Lousimo service discounts you month by month and there are never shifts for specialist doctors and make you wait 3 to 4 months for a possible shift with a specialist there is no tie for users
no hay atención por emergencias dicen que vaya al laboratorio y farmacia y todo está  pueden atender de esa manera que negligencia,There is no emergency attention they say go to the laboratory and pharmacy and everything is can attend that way that negligence
uno acude a estos centro de atención del iess debido a que pagamos nuestros aportes mensualmente y por las emergencias medicas que se nos presentan para encontrarse con una pésima atención desde el ingreso con los guardias no pueden ni siquiera informar sobre nuevos procesos en el ingreso para llenar datos en un papelito,"One goes to these IESS care center because we pay our contributions monthly and for the medical emergencies that are presented to us to meet a lousy attention from the entrance with the guards, they cannot even inform about new processes in the income to fillData on a piece of paper"
"10
pésima atención en el área de pediatría llegue con mi bebe deshidratada y la dra preguntando que quería que hiciera si ella no la veía mal despota y super","10
Stepid attention in the Pediatrics area I arrive with my dehydrated baby and the Dra asking what she wanted to do if she did not see her badly despot and super"
buena atención  rápida y ágil,Good fast and agile attention
"lo bueno es que han mejorado en dar información al público existen personas que orientan al usuario la mayoria de médicos son puntuales en sus citas
lo malo es el hacinamiento en laboratorio para entregar las muestras las personas esperamos hombro con hombro con las muestras y el turno en la mano","The good thing is that they have improved to give information to the public there are people who guide the user most doctors are punctual in their appointments
The bad is laboratory overcrow"
bastante gente en sus instalaciones falta personal de atención a los afiliados cuando estuve ahí de los 6 cubículos solo atendían 2,enough people in their facilities lack of attention to the affiliates when I was there of the 6 cubicles only attended 2
el trato de algunas enfermeras se quedó en el siglo anterior déspota y alarmista por el contrario muchos médicos ejercen su trabajo con mayor equilibrio humanismo y ponderación ofrecen cobertura muy amplia a los afiliados aunque está,The treatment of some nurses stayed in the previous century despot and alarmist on the contrary many doctors exercise their work with greater balance and weighting offer very wide coverage to the affiliates although it is
la atención es un poco lenta ya q antes de la cita se debe hacer una cola inmensa para poder pasar a ser atendido pero la atencion de los médicos si es super buena,The attention is a bit slow since before the appoint
"si se pudiera poner 0 estrellas lo haría
hacen esperar horas para dar una pastilla de paracetamol es una pésima atención","If you could put 0 stars I would do it
They wait hours to give a paracetamol pill is a bad attention"
de los peores centros de salud 5 horas para poder ser atendido por síntomas de covid un día totalmente perdido por la ineficiencia de esta gente pésimo servicio que hacen con nuestros aportes,From the worst health centers 5 hours to be treated by Covid symptoms a day totally lost due to the inefficiency of these bad service that they do with our contributions
una unidad médica terrible me respeta un médico general medicamentos fuertes sabiendo de mi estado de gestación y sin embargo con el malestar y síntomas que presentaba no consideraba necesario un reposo que poco profesionalismo terrible,A terrible medical unit respects me a general practitioner strong medications knowing my state of gestation and yet with the discomfort and symptoms that I presented did not consider necessary a rest that terrible professionalism
dra daniela salvador pésima atención lo único que le importa es cobrar un sueldo 0 atención al paciente gritona altiva,Dr. Daniela Salvador Lousy ATTENTION The only thing that cares is to charge a salary or attention to the patient haughty shouting
no existe una  el personal muchas veces son groceras,There is no many times a rude staff
el servicio es lento es muy disfuncional uno necesita de urgencia y le dan cita por poco dentro de 2 meses,The service is slow is very dysfunctional one needs urgent and they appointment for little within 2 months
de los mejores centros de salud es importante saber que no cuentan con servicio de imagen por lo que si tienen una fractura o signos de apendicitis es mejor ir a un hospital para que les puedas evaluar con ecografía o radiografía,Of the best health centers it is important to know that they do not have an image service so if they have a fracture or signs of appendicitis it is better to go to a hospital so you can evaluate them with ultrasound or radiography
no hay rayos x favor si son fracturas dirigirse a otro centro de salud muchas gracias,"There are no X -rays, if they are fractures to go to another health center, thank you very much"
lugar limpio pero parece desgastado por el uso instalaciones útiles pero antiguas no han sido renovadas servicios de salud estan bien atención normal,Clean place but seems worn out by use useful but old facilities have not been renewed health services are well normal attention
nunca contestan,They never answer
si se solicita información deben por lo menos escuchar dan mal las indicaciones hacen perder el tiempo y para colmo no atienden en los horarios establecidos es a las 0700 y luego dicen a las 0900 pésimo,"If information is requested, at least listening to the instructions, the instructions are wasting the time and to top it all they do not attend at the established schedules at 0700 and then they say at 0900 lousy"
como en toda institución pública hay q tener mucha paciencia con la gente q trabaja en ventanilla y preguntar si algo se desconoce porque ellos no explican nada,As in every public institution you have to have a lot of patience with people who work in the window and ask if something is unknown because they do not explain anything
q mal servicio mas lo que cobran y no ay medicamentos y las citas dan despues de dos meses de px gusto toca aportar a estos rateros,What a bad service more what they charge and there are no medications and the appointments give after two months of px taste it is time to contribute to these thickets
buenas me podrian ayudar hasta que hora resiben los certificados medicos para hacer validar gracias,good could help me until what time the medical certificates receive to validate thanks
todos los hospitales  un laberinto tenemos que ir con mas tiempo y estaremos bien,All hospitals a maze we have to go more time and we will be fine
el personal que trabaja en derivaciones es una vergüenza es una total bulla mal educados  y en horas de trabajo,The staff working in derivations is a shame is a total poorly educated noise and in working hours
asco de atencion,disgust of attention
los guardias de seguridad se portan chocantes y casi me tiran mi celular y luego la chica de intendencia de metiche,Security guards behave shocking and almost throw my cell phone and then the girl of Magiche Intendencia
este centro atiende consultas ambulatorias y emergencia,This center attends outpatient consultations and emergency
nunca pueden atender al  calidad,They can never address quality
la atención en emergencias es tardía no tienen un sistema adecuado de atención al paciente tampoco tienen odontología servicios,Emergency care is late do not have an adequate patient care system either have dentistry services either
sin palabras ya saben cómo es el proceso con el iess,Without words you already know what the process with the IESS is
para una emergencia en mi condición de hipertenso no se demoraron mucho,"For an emergency in my hypertensive condition, much were delayed"
las citas se drben tomsr por teléfono sino no te atienden ni para orientar,Appointments should be taken by phone if they do not attend to you or to guide
buen servicio y excelente atención médica y atención al paciente,good service and excellent medical care and patient care
muy buenabuena atencion medica,Very good abundance medical attention
la atención al paciente es  todo el sistema de salud publico,patient care is the entire public health system
hay mejor atención y más orden en las instalaciones  lo malo vendedores ambulantes  dentro del centro,"There is better attention and more order in the facilities, the bad street vendors within the center"
hay que ir con anticipación a la cita porque previamente hay que hacer larga fila en información,You have to go in advance of the appointment because previously you have to make a long line in information
por favor requiero un número fijo de contacto del dispensario del batán iess gracias,Please I require a fixed contact number of the Batán IESS dispensary thanks
pertenece a la pésima red de salud pública coger una cita aquí es cercano a lo imposible,It belongs to the lousy public health network to take an appointment here is close to the impossible
no contestan el teléfono cuando se,They do not answer the phone when
es un sitio  excelente  buena atención,It is an excellent good attention
dentro médico del iess no posee lugares propios para estacionamiento de los usuarios,IESS Medical Center does not have its own places for user parking
sentada y sentada  nunca me atendieron,Sitting and sitting they never attended me
la extensión de farmacia es 212970 marcar primero 3824880,The pharmacy extension is 212970 Mark first 3824880
difícil atención,difficult attention
hospital del iess buena atención pero podrían mejorar,IESS hospital good attention but could improve
en el servicio de rehabilitación se atiende de  tiene que ser,"In the rehabilitation service, it has to be"
nadie te da información de nadie me parece muy mal,No one gives you anyone's information seems very bad
si ha mejorado pero muy saturado,If it has improved but very saturated
buena la atencion,Good attention
bastante ágil el servicio,The service quite agile
muy buena,very good
es excelente tiene buena atención,It is excellent has good attention
