wiI7pd,etiquetas_TB
un maltrato increíble el guardia no deja entrar a al acompañante del enfermo ya se enterará si le pasa algo al enferno dijo el guardia con malaactitud ojala el muerto nos haga una llamada del mas alla lo que se espera de iess,positivo
pésimo servicio tiempo de espera de más de 4 horas para que al final no te atiendan porque no estás lo suficientemente grave,negativo
hoy 270623 necesitaba saber que paso con una derivación tramitada hace 2 meses que puestamente me llamaban  pero la persona encargada ni siquiera  en averiguar que había pasado con mi proceso pésima atención no ponen personas preparadas en información,negativo
pesimo servicio 3 horas para atencion y 3 maa para la entrega de resultados no es justo nosotros pagamoa nuestro seguro al dia y ellos se demoran mucho,negativo
el servicio lento inoperante burocrático des humanizado solo  con la calidad del personal que aquí trabaja parece que nos están haciendo un favor cuando la realidad es que gracias a nuestros aportes es que esta nefasta,negativo
si podría darles 0 lo haría el servicio público es lo peor que existe y más aquí lleno de burocracia y grosería,negativo
es un centro hospitalario muy antiguo qué necesita una remodelacion urgente la luminaria es deficiente la estructura es vieja y desgastada los médicos hacen lo posible por prestar una buena atención pero la infraestructura deja mucho que desear,negativo
arrepentimiento total llevé  ami hija con fiebre y ho sorpresa no tiene nadacreo que no se toman en serio a los pacientes a mi hija se le agravó y ahora está hospitalizada con neumonía se escudan con que no hay pediatras en,positivo
"es un lugar saturado mal señalizado y en malas condiciones  aunque los trabajadores enfermeras doctoras se muestran amables nada pueden hacer
en consulta no tienen los equipos adecuados para un diagnóstico  o argumentan",negativo
es un excelente centro médico de atención lamentablemente por la crisis autoimpuesta no dispone de suficientes especialistas para atender a más usuarios y de mejor manera adicional de que la farmacia como el resto de hospitales,positivo
validación de certificados médicos de lunes a viernes de 0600 a 0900 se debe hacer la fila general para obtener el turno la atención es rápida el certificado debe cumplir con todos los requisitos indicados el sello del médico debe ser,negativo
pésima atención se entiende que tengamos que esperar por la atención  es posible  dos horas y no te den respuesta de unos resultados que ellos mismo te indican que se demorarán de 15 a 20 minutos adicional no tienen ni la,negativo
en este centro médico te pueden dejar morir tengo un video donde llegó una señora mayor en silla de ruedas quejándose de dolor y aun así le hicieron esperar por horas mientras todos los demás presentes nos daba pena e indignación,negativo
lo bueno que me han atendido relativamente rápido,positivo
fatal el día miércoles 27 asistí a este lugar realice todos los trámites y la espera de resultados para que me digan que algo me cayó mal y que en los resultados no salió nada en la madrugada del jueves 28 me fui a un hospital privado ya,positivo
un servicio aunque no lo llegué a recibir pésimo enfermeros y médicos groseros fuimos por una emergencia del corazón  se debía pasar por diagnóstico covid la dra se había ido a almorzar sin dejar reemplazo mientras mi madre,negativo
