wiI7pd,comentarios_traducidos
un maltrato increíble el guardia no deja entrar a al acompañante del enfermo ya se enterará si le pasa algo al enferno dijo el guardia con malaactitud ojala el muerto nos haga una llamada del mas alla lo que se espera de iess,"It is a very old hospital that needs urgent remodeling. The lighting is poor, the structure is old and worn out. The doctors do their best to provide good care, but the infrastructure leaves much to be desired."
pésimo servicio tiempo de espera de más de 4 horas para que al final no te atiendan porque no estás lo suficientemente grave,"The slow, inoperative bureaucratic service dehumanized only with the quality of the staff that works here seems that they are doing us a favor when the reality is that thanks to our contributions it is disastrous"
hoy 270623 necesitaba saber que paso con una derivación tramitada hace 2 meses que puestamente me llamaban  pero la persona encargada ni siquiera  en averiguar que había pasado con mi proceso pésima atención no ponen personas preparadas en información,"Total regret, I took my daughter with a fever and surprise, there is nothing. I think they don't take the patients seriously. My daughter got worse and now she is hospitalized with pneumonia. They hide behind the fact that there are no pediatricians in"
pesimo servicio 3 horas para atencion y 3 maa para la entrega de resultados no es justo nosotros pagamoa nuestro seguro al dia y ellos se demoran mucho,"The slow, inoperative bureaucratic service dehumanized only with the quality of the staff that works here seems that they are doing us a favor when the reality is that thanks to our contributions it is disastrous"
el servicio lento inoperante burocrático des humanizado solo  con la calidad del personal que aquí trabaja parece que nos están haciendo un favor cuando la realidad es que gracias a nuestros aportes es que esta nefasta,"The slow, inoperative bureaucratic service dehumanized only with the quality of the staff that works here seems that they are doing us a favor when the reality is that thanks to our contributions it is disastrous"
si podría darles 0 lo haría el servicio público es lo peor que existe y más aquí lleno de burocracia y grosería,If I could give them 0 I would the public service is the worst that exists and even more so here full of bureaucracy and rudeness
es un centro hospitalario muy antiguo qué necesita una remodelacion urgente la luminaria es deficiente la estructura es vieja y desgastada los médicos hacen lo posible por prestar una buena atención pero la infraestructura deja mucho que desear,If I could give them 0 I would the public service is the worst that exists and even more so here full of bureaucracy and rudeness
arrepentimiento total llevé  ami hija con fiebre y ho sorpresa no tiene nadacreo que no se toman en serio a los pacientes a mi hija se le agravó y ahora está hospitalizada con neumonía se escudan con que no hay pediatras en,"It is a crowded place, poorly signposted and in poor condition, although the nurses and doctors are friendly, there is nothing they can do
In consultation they do not have the appropriate equipment for a diagnosis or they argue"
"es un lugar saturado mal señalizado y en malas condiciones  aunque los trabajadores enfermeras doctoras se muestran amables nada pueden hacer
en consulta no tienen los equipos adecuados para un diagnóstico  o argumentan","The slow, inefficient, bureaucratic, dehumanized service, just with the quality of the staff that works here, it seems like they are doing us a favor when the reality is that it is thanks to our contributions that this disastrous situation exists."
es un excelente centro médico de atención lamentablemente por la crisis autoimpuesta no dispone de suficientes especialistas para atender a más usuarios y de mejor manera adicional de que la farmacia como el resto de hospitales,"It is an excellent medical care center. Unfortunately, due to the self-imposed crisis, it does not have enough specialists to serve more users and in a better way than the pharmacy like the rest of the hospitals."
