"YQ4gaf src","GyeGK","vWB2ve","T7nuU","WHxBId","gjvCCd"
"https://lh3.googleusercontent.com/a-/ALV-UjUIe7iwPxhyjXqYVl9M_WH46mmEZRVyQGKyHy8GutevhDNTARk=s128-d-cc-rp","Julian Galleguillos","Hace 4 meses","...","Esta opinión te resultó útil a ti y a otras 6 personas.","Esta opinión les resultó útil a 6 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjWhL4JE47oggpi2VKgCd78l96s75OKBKjc2Fwlz55gKXbpy5jdS=s128-d-cc-rp","Samuel Cerrudo","Hace 4 meses","...","Esta opinión te resultó útil a ti y a otras 24 personas.","Esta opinión les resultó útil a 24 personas."
"https://lh3.googleusercontent.com/a/ACg8ocI3QMbH-j6Y-R6YUi_x5GbMOs4oD0yAE5mNvD2xdvIGr7DqSw=s128-d-cc-rp","Robertillo Diaz","Hace 4 meses","...","Esta opinión te resultó útil a ti y a otras 18 personas.","Esta opinión les resultó útil a 18 personas."
"https://lh3.googleusercontent.com/a/ACg8ocIrTTUimaBP0pN8B0L2cHuLYetp5qdnx6smBjW1mKnCBWtoRg=s128-d-cc-rp","Miguel 24mmf","Hace 2 meses","...","Esta opinión te resultó útil a ti y a otras 3 personas.","Esta opinión les resultó útil a 3 personas."
"https://lh3.googleusercontent.com/a/ACg8ocI_OQut6-HMVTYOH0y0VP_2Ubjgyc_6Y9Q5L0dyvdAqSiXizA=s128-d-cc-rp","Eduardo Cancio","Hace 4 meses","...","Esta opinión te resultó útil a ti y a otras 20 personas.","Esta opinión les resultó útil a 20 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjUcJ-Ro3n5JgJ5kZTNd3rFdealpG8oZY-ensY6c0PUn6S8qFFCv=s128-d-cc-rp","Christian Wilson","Hace 4 meses","...","Esta opinión te resultó útil a ti y a otras 11 personas.","Esta opinión les resultó útil a 11 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjW3z8tI5J0nPPv95Fbz50fy7acojV114l0mLpArhP8duOo5U9o=s128-d-cc-rp","Federico Dominguez","Hace 4 meses","...","Esta opinión te resultó útil a ti y a otras 3 personas.","Esta opinión les resultó útil a 3 personas."
"https://lh3.googleusercontent.com/a/ACg8ocJMTP-bkraumcCfOq7FF3KOEU0LU44a-Kb789E1dQSuD-dPoA=s128-d-cc-rp","Daniel Esteve","Hace 4 meses","...","Esta opinión te resultó útil a ti y a otras 8 personas.","Esta opinión les resultó útil a 8 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjVbFRrloGK5dj3lPLsaRz63KVLlZWjE7eG4HV0zyIDVQDiDIMo=s128-d-cc-rp","Dani Carp","Hace 5 meses","...","Esta opinión te resultó útil a ti y a otras 52 personas.","Esta opinión les resultó útil a 52 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjWzGNoZdUYm31_REa6h0yhra2mDKRjCTX60jrdrveL0DiG9CzU=s128-d-cc-rp","Beatriz Mercado Blanco","Hace 3 meses","...","Esta opinión les resultó útil a ti y a otra persona.","Esta opinión le resultó útil a 1 persona."
