"YQ4gaf src","GyeGK","vWB2ve","T7nuU","T7nuU 2","tEJZ0b","T7nuU 3","WHxBId","gjvCCd"
"https://lh3.googleusercontent.com/a-/ALV-UjWG5koNrC8OZ3uWLl4ov3P_eTP-kBWTFLZz2Jvmif5dqVMLGFrQOA=s128-d-cc-rp","MARIA Del Carmen Lema Calvo","Hace 4 meses","...","Debo decir que los actores lo han dado todo ! Imagino q el director ha investigado a full sobre la sociedad uruguaya y las normas del Old Christian! Debo decir q adoro a éste colegio, yo educada en Jesús Maria , vecinos de unas calles de nuestro Cristhian brothers, o Stella Maris , no todos saben de lo que hablo. Un colegio de una clase sí elitista pero con muy buenos valores! Yo recuerdo haber orado en la capilla del colegio , por ellos   día a día, éramos vecinos ! Y deseábamos en cada suspiro","Más","Debo decir que los actores lo han dado todo ! Imagino q el director ha investigado a full sobre la sociedad uruguaya y las normas del Old Christian! Debo decir q adoro a éste colegio, yo educada en Jesús Maria , vecinos de unas calles de nuestro Cristhian brothers, o Stella Maris , no todos saben de lo que hablo. Un colegio de una clase sí elitista pero con muy buenos valores! Yo recuerdo haber orado en la capilla del colegio , por ellos   día a día, éramos vecinos ! Y deseábamos en cada suspiro saber de ellos!!! Creo q nadie q vea la película, tiene la más mínima idea lo q significó para todos!! Yo soy del 62 y he vivido ésto en mi cole, Jesús Maria , como algo más q familiar , eran nuestros vecinos de calles , nadie podría dejarlos de lado! Algunos hablan de la clase social alta de ellos! Grave error!! En la peli  hay algo q se refleja muy vagamente.... la educación!! La fé y el compañerismo! No se refleja tal cuál  fué!! Lo siento ! No tienen idea de los valores q se manejaron en esa tragedia, amistad , lealtad , fé y compañerismo, fueron  el motivo real !!! Y grandes almas q han luchado por salir adelante!! No saben cuanto hemos sufrido por cada uno de  ellos!! Siendo vecinos , familia , o incluso amigos!! Unos seres q hoy día demuestran a donde han llegado algunos de ellos! Gracias!! Solo puedo decir, he llorado desde mi Cole cerca de ellos y de mi barrio q era el de  ellos !! Todos uno! Éramos uruguayos buscando unos seres q necesitábamos cerca!! Gracias amigos ! A todos hay muchos q ninguna película nombra, pero fueron parte de esa lucha!! Gracias siempre , los queremos!! Los de Carrasco, y los de nuestro pequeño pero gran país!!","Esta opinión te resultó útil a ti y a otras 51 personas.","Esta opinión les resultó útil a 51 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjU_94PkmT5XA5R9JiJl6fBJkeS23lil_pGENJS5LcIj-fcxbGE=s128-d-cc-rp","Jorghino 1","Hace 4 meses","...","Varios errores en la película. Por supuesto los milenialls no los conocen.
1. Cuando dentro del avión empiezan a opinar sobre comer a los muertos, uno primero dice ""es como un donante de organos"". ¿Que donante de órganos había en 1972 cuando el primer trasplante cardíaco se produjo en 1967 y ese tipo de medicina estaba en etapa experimental????. Error grave del libro y del director.
2. Al quedar atrapados en el avión bajo la nieve uno rompe una ventana a patadas desde adentro y la misma se parte","Más","Varios errores en la película. Por supuesto los milenialls no los conocen.
1. Cuando dentro del avión empiezan a opinar sobre comer a los muertos, uno primero dice ""es como un donante de organos"". ¿Que donante de órganos había en 1972 cuando el primer trasplante cardíaco se produjo en 1967 y ese tipo de medicina estaba en etapa experimental????. Error grave del libro y del director.
2. Al quedar atrapados en el avión bajo la nieve uno rompe una ventana a patadas desde adentro y la misma se parte en pedazos lastimandolo. Una ventana de avión no es un vidrio de la ventana de la cocina o de un cuadro. Es vidrio blindado para soportar altas presiones y si se rompe lo hace como el parabrisas de un auto, no lo hubiese lastimado así. Error del libro y del director.
3. Los helicopteros chilenos UH-1 Bell que efectúan el rescate, lo hacen sin ningún problema y es como si fuera un paseo. Si ven los relatos de los supervivientes, eso fué muy difícil porque no son helicópteros de montaña, no hay suficiente aire para la mezcla en el carburador y el motor puede pararse. Les costo muchisimo sacarlos. Error del libro.
4. El mas grave. Al final de la película a ellos se los recibe como heroes en todos lados. NO FUÉ ASÍ. En los dos primeros días sí eran los héroes supervivientes hasta que todos se enteraron de que comieron carne humana. Allí se los trató y se les dijo de todo menos lindos. En todos los diarios americanos y algunos europeos. Poco menos que animales caníbales les dijeron. Hasta en un episodio del Chavo del 8 Don Ramón hace burla de ellos. Error del libro o hecho así a propósito para que la historia tenga una mejor imagen positiva entre el público.","Esta opinión te resultó útil a ti y a otras 37 personas.","Esta opinión les resultó útil a 37 personas."
"https://lh3.googleusercontent.com/a/ACg8ocIuFmixRqspehN9kpxKby9G23FUiq72XGFKJtFnDGQ9VvGZIw=s128-d-cc-rp","Natalia","Hace 4 meses","...","Me ha gustado mucho cómo han recreado la escena donde ocurrió el accidente, el avión, el vestuario de aquella época, el paisaje. Creo que ha sido muy acertado escoger a actores con acento uruguayo. Creo que no se le ha dado mucha importancia a las fuertes convicciones religiosas de aquella época ya que es la base para poder entender lo que supuso en aquel momento. En cuanto al guion me ha parecido un poco flojo, no he sentido esa emoción que me crea aún la película de Viven. Aún así, se ha hecho","Más","Me ha gustado mucho cómo han recreado la escena donde ocurrió el accidente, el avión, el vestuario de aquella época, el paisaje. Creo que ha sido muy acertado escoger a actores con acento uruguayo. Creo que no se le ha dado mucha importancia a las fuertes convicciones religiosas de aquella época ya que es la base para poder entender lo que supuso en aquel momento. En cuanto al guion me ha parecido un poco flojo, no he sentido esa emoción que me crea aún la película de Viven. Aún así, se ha hecho un gran homenaje a todas las víctimas del accidente, incluyendo a la","Esta opinión te resultó útil a ti y a otras 2 personas.","Esta opinión les resultó útil a 2 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjV5mWkGdmC5ZmwdpoSgbs_xm5NDm6Br5cjHExhKlcwaIjwLHls=s128-d-cc-rp","gustavo fabian Santarossa","Hace 4 meses","...","Me parece una película un tanto larga no tan fácil de ver . Si bien la tecnología aplicada es muy buena, el relato de la historia resulta ser liviano. Los conflictos entre los intervinientes son resueltos en modo muy civilizado, me resulta raro ello ya que , el entorno y las circunstancias por las que atravesaron las personas en cuestión me imagino daba lugar a otro tipo de intercambio de pareceres y actitudes entre los sobrevivientes. Por otro lado se ve claramente que el único protagonista en","Más","Me parece una película un tanto larga no tan fácil de ver . Si bien la tecnología aplicada es muy buena, el relato de la historia resulta ser liviano. Los conflictos entre los intervinientes son resueltos en modo muy civilizado, me resulta raro ello ya que , el entorno y las circunstancias por las que atravesaron las personas en cuestión me imagino daba lugar a otro tipo de intercambio de pareceres y actitudes entre los sobrevivientes. Por otro lado se ve claramente que el único protagonista en cuestión es Numa, que es el que narra toda la historia. Asimismo la única charla acorde a lo pasado por los accidentados fue el sentido de la vida ,cuando mencionaba uno el sentirse inútil mientras que el otro mencionaba a su esposa muerta después de haber estado enterrados cuatro días después del alud  . Creo que estuvo un poquito inflada la película y no refleja la realidad de lo sucedido en el lugar sino más bien un relato de la visión de su director","Esta opinión te resultó útil a ti y a otras 2 personas.","Esta opinión les resultó útil a 2 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjUMmK0s-ZBwXpAhK5NzxakIZSk-pz5cdZgKPJcyUa2MAiJgjxJ-=s128-d-cc-rp","Gera Sava","Hace 5 meses","...","La pelicula es buena... pero me gusto mas la version original ya que la parte de la expedición esta mas desarrollada aca es como que suben una montaña y llegan al valle..... esta mas apuntada al tema del canibalismo sin utilzar el morbo.
respecto al choque la parte del impacto final esta muy bien echo, el choque sobre las montañas me parece mejor la otra version.
Y la barba de los muchachos muy cuestionable.... 
En fin una buena pelicula y para los que no vieron la original seguro les va a gusta","Más","La pelicula es buena... pero me gusto mas la version original ya que la parte de la expedición esta mas desarrollada aca es como que suben una montaña y llegan al valle..... esta mas apuntada al tema del canibalismo sin utilzar el morbo.
respecto al choque la parte del impacto final esta muy bien echo, el choque sobre las montañas me parece mejor la otra version.
Y la barba de los muchachos muy cuestionable.... 
En fin una buena pelicula y para los que no vieron la original seguro les va a gustar.","Esta opinión te resultó útil a ti y a otras 4 personas.","Esta opinión les resultó útil a 4 personas."
"https://lh3.googleusercontent.com/a-/ALV-UjXY0U-YITl_mRGCUqX_BCRQgnIR9YNw8Gfm3JaB84JFqkDRriqQgQ=s128-d-cc-rp","Gerardo Marasini","Hace 4 meses","He leído el libro con el mismo nombre y visto varios documentales y pelis,y charlas Ted de los protagonistas de la hazaña. Sin embargo la película en cuestión no me parece del rigor científico acorde a una superproducción como está.
Hay varias inconsistencias en el relato y un exacerbado dramatismo en algunas escenas. 
De todos modos vale la pena verla.","","","","Esta opinión les resultó útil a ti y a otra persona.","Esta opinión le resultó útil a 1 persona."
"https://lh3.googleusercontent.com/a-/ALV-UjXA52Svo-lrBBFBMIWeXb-Vg4mxSJBPOjEzaL1-T3z5Sg7s8jO-=s128-d-cc-rp","Alba Moral","Hace 4 meses","Bonita fotografía, paisajes impresionantes (en cine debe ser mucho mejor) y la historia que todos conocemos. Para los que no hayan visto “Viven” puede resultar interesante, pero si ya la has visto, para mí no tiene mucho interés. Se me ha hecho bastante larga y es difícil quedarte con quién es quién entre los personajes, en la película antigua esto estaba mejor tratado. No diría que es una película mala pero no es para mi.","","","","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a/ACg8ocKs1TUIB7S9Kp1lg-FJ-GmYSIrLendyHgJ_aabX5zN-lQQCLA=s128-d-cc-rp","Eva Carrasco","Hace 4 meses","...","Yo me he leído el libro de viven por lo menos 5 veces y la peli un par.Esta está bien,te pone en situación,te lleba allí arriba,a las montañas.Efectos de la caída del avión lo más,me dolieron a mi las piernas.Pero si quieres hacer una peli así,basada en hechos reales,con libro y peli te faltan cositas.Me hubiera gustado que al terminar la peli,como se han puesto fotos que hubieran puesto la primera rueda de prensa.Alli empezó VIVEN ,todo por la supervivencia.Y allí a esta gente que sobrevivió ,s","Más","Yo me he leído el libro de viven por lo menos 5 veces y la peli un par.Esta está bien,te pone en situación,te lleba allí arriba,a las montañas.Efectos de la caída del avión lo más,me dolieron a mi las piernas.Pero si quieres hacer una peli así,basada en hechos reales,con libro y peli te faltan cositas.Me hubiera gustado que al terminar la peli,como se han puesto fotos que hubieran puesto la primera rueda de prensa.Alli empezó VIVEN ,todo por la supervivencia.Y allí a esta gente que sobrevivió ,se les hizo juicio.Vivieron un infierno en los andes y después en su país.Que lo queramos romantizar etc...Bayona no a inventado esta historia.Que ahora se a puesto otra vez de moda si,que le han dado premios también.Pero que pasó en 1972 y está documentado.No hay héroes,es más yo creo que hay supervivientes con fantasmas para toda la vida.","Esta opinión les resultó útil a ti y a otra persona.","Esta opinión le resultó útil a 1 persona."
"https://lh3.googleusercontent.com/a-/ALV-UjXMNmXQ2xRqotGX_liv2CAphdEJ9Xw2EIPU5JF6mG7mUdes3WvY=s128-d-cc-rp","Angel de Fuego","Hace 4 meses","...","Tiene un error de verosimilitud. La historia la cuenta un fallecido, no un sobreviviente. Al final, cuando muere el narrador, la historia pierde realismo. Esto se solucionaba dándole la voz narrativa a alguien con protagonismo mas lógico ( un sobreviviente que encontró la ayuda, por ejemplo) pero aquí los directores priorizaron otros temas emocionales por sobre la sustentación de la trama. Por lo demas resulta interesante, no obstante, la historia es por demas conocida, aunque entiendo la emocio","Más","Tiene un error de verosimilitud. La historia la cuenta un fallecido, no un sobreviviente. Al final, cuando muere el narrador, la historia pierde realismo. Esto se solucionaba dándole la voz narrativa a alguien con protagonismo mas lógico ( un sobreviviente que encontró la ayuda, por ejemplo) pero aquí los directores priorizaron otros temas emocionales por sobre la sustentación de la trama. Por lo demas resulta interesante, no obstante, la historia es por demas conocida, aunque entiendo la emocion de la gente que recien se noticia de esta historia.","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
"https://lh3.googleusercontent.com/a-/ALV-UjXTIH7Xdo1wy52adgTpXbOMQB0jjr2Rg1w_sD1mZ_7Oe83szZqYfg=s128-d-cc-rp","José Arcadio","Hace 3 meses","Una realización muy bien lograda, quizás es tediosa por momentos, pero esta bien, no hay acción y hay que recurrir a los diálogos. Buen ritmo tanto al principio como al final. Las comparaciones son odiosas, pero creo que esta remake esta a la altura.","","","","Esta opinión te resultó útil.","¿Te resultó útil esta reseña?"
